Epoch, Batch, Loss_D, Loss_G, D(x), D(G(z))
[1/1],[751/938],50.6654,60.7483,0.0000,0.0000 / 0.0000
[1/1],[752/938],50.3214,60.7535,0.0000,0.0000 / 0.0000
[1/1],[753/938],50.3836,60.7347,0.0000,0.0000 / 0.0000
[1/1],[754/938],50.4989,60.7749,0.0000,0.0000 / 0.0000
[1/1],[755/938],50.4994,60.7726,0.0000,0.0000 / 0.0000
[1/1],[756/938],50.6083,60.7609,0.0000,0.0000 / 0.0000
[1/1],[757/938],50.7856,60.7281,0.0000,0.0000 / 0.0000
[1/1],[758/938],50.4120,60.7321,0.0000,0.0000 / 0.0000
[1/1],[759/938],50.3604,60.7462,0.0000,0.0000 / 0.0000
[1/1],[760/938],50.5859,60.7715,0.0000,0.0000 / 0.0000
[1/1],[761/938],50.6213,60.7602,0.0000,0.0000 / 0.0000
[1/1],[762/938],50.3674,60.7379,0.0000,0.0000 / 0.0000
[1/1],[763/938],50.2834,60.7618,0.0000,0.0000 / 0.0000
[1/1],[764/938],50.0071,60.7626,0.0000,0.0000 / 0.0000
[1/1],[765/938],50.3136,60.7534,0.0000,0.0000 / 0.0000
[1/1],[766/938],50.3130,60.7579,0.0000,0.0000 / 0.0000
[1/1],[767/938],50.2830,60.7909,0.0000,0.0000 / 0.0000
[1/1],[768/938],50.4304,60.7586,0.0000,0.0000 / 0.0000
[1/1],[769/938],50.5457,60.7744,0.0000,0.0000 / 0.0000
[1/1],[770/938],50.5527,60.7627,0.0000,0.0000 / 0.0000
[1/1],[771/938],50.6550,60.7410,0.0000,0.0000 / 0.0000
[1/1],[772/938],50.5245,60.7673,0.0000,0.0000 / 0.0000
[1/1],[773/938],50.5221,60.7562,0.0000,0.0000 / 0.0000
[1/1],[774/938],50.5799,60.7645,0.0000,0.0000 / 0.0000
[1/1],[775/938],50.6712,60.7804,0.0000,0.0000 / 0.0000
[1/1],[776/938],50.3680,60.7665,0.0000,0.0000 / 0.0000
[1/1],[777/938],50.6434,60.7396,0.0000,0.0000 / 0.0000
[1/1],[778/938],50.3841,60.7711,0.0000,0.0000 / 0.0000
[1/1],[779/938],50.7238,60.7483,0.0000,0.0000 / 0.0000
[1/1],[780/938],50.4394,60.7502,0.0000,0.0000 / 0.0000
[1/1],[781/938],50.2923,60.7451,0.0000,0.0000 / 0.0000
[1/1],[782/938],50.7967,60.7589,0.0000,0.0000 / 0.0000
[1/1],[783/938],50.5202,60.7565,0.0000,0.0000 / 0.0000
[1/1],[784/938],50.3643,60.7557,0.0000,0.0000 / 0.0000
[1/1],[785/938],50.1476,60.7471,0.0000,0.0000 / 0.0000
[1/1],[786/938],50.4478,60.7563,0.0000,0.0000 / 0.0000
[1/1],[787/938],50.3679,60.7561,0.0000,0.0000 / 0.0000
[1/1],[788/938],50.5424,60.7614,0.0000,0.0000 / 0.0000
[1/1],[789/938],50.4182,60.7374,0.0000,0.0000 / 0.0000
[1/1],[790/938],50.3827,60.7773,0.0000,0.0000 / 0.0000
[1/1],[791/938],50.3565,60.7452,0.0000,0.0000 / 0.0000
[1/1],[792/938],50.4518,60.7962,0.0000,0.0000 / 0.0000
[1/1],[793/938],50.3049,60.7597,0.0000,0.0000 / 0.0000
[1/1],[794/938],50.2963,60.7551,0.0000,0.0000 / 0.0000
[1/1],[795/938],50.5823,60.7870,0.0000,0.0000 / 0.0000
[1/1],[796/938],50.2887,60.7572,0.0000,0.0000 / 0.0000
[1/1],[797/938],50.2944,60.7692,0.0000,0.0000 / 0.0000
[1/1],[798/938],50.5652,60.7379,0.0000,0.0000 / 0.0000
[1/1],[799/938],50.6008,60.7661,0.0000,0.0000 / 0.0000
[1/1],[800/938],50.4820,60.7476,0.0000,0.0000 / 0.0000
[1/1],[801/938],50.6823,60.7533,0.0000,0.0000 / 0.0000
[1/1],[802/938],50.2922,60.7661,0.0000,0.0000 / 0.0000
[1/1],[803/938],50.4717,60.7677,0.0000,0.0000 / 0.0000
[1/1],[804/938],50.4073,60.7465,0.0000,0.0000 / 0.0000
[1/1],[805/938],50.4805,60.7395,0.0000,0.0000 / 0.0000
[1/1],[806/938],50.4672,60.7596,0.0000,0.0000 / 0.0000
[1/1],[807/938],50.4415,60.7519,0.0000,0.0000 / 0.0000
[1/1],[808/938],50.3855,60.7485,0.0000,0.0000 / 0.0000
[1/1],[809/938],50.6635,60.7578,0.0000,0.0000 / 0.0000
[1/1],[810/938],50.4530,60.7406,0.0000,0.0000 / 0.0000
[1/1],[811/938],50.4139,60.7554,0.0000,0.0000 / 0.0000
[1/1],[812/938],50.6956,60.7617,0.0000,0.0000 / 0.0000
[1/1],[813/938],50.6844,60.7469,0.0000,0.0000 / 0.0000
[1/1],[814/938],50.3082,60.7567,0.0000,0.0000 / 0.0000
[1/1],[815/938],50.4306,60.7549,0.0000,0.0000 / 0.0000
[1/1],[816/938],50.4034,60.7532,0.0000,0.0000 / 0.0000
[1/1],[817/938],50.6411,60.7622,0.0000,0.0000 / 0.0000
[1/1],[818/938],50.4915,60.7455,0.0000,0.0000 / 0.0000
[1/1],[819/938],50.3246,60.7679,0.0000,0.0000 / 0.0000
[1/1],[820/938],50.5469,60.7361,0.0000,0.0000 / 0.0000
[1/1],[821/938],50.3076,60.7509,0.0000,0.0000 / 0.0000
[1/1],[822/938],50.2599,60.7793,0.0000,0.0000 / 0.0000
[1/1],[823/938],50.5367,60.7668,0.0000,0.0000 / 0.0000
[1/1],[824/938],50.3699,60.7398,0.0000,0.0000 / 0.0000
[1/1],[825/938],50.2991,60.7556,0.0000,0.0000 / 0.0000
[1/1],[826/938],50.5203,60.7902,0.0000,0.0000 / 0.0000
[1/1],[827/938],50.2964,60.7824,0.0000,0.0000 / 0.0000
[1/1],[828/938],50.6713,60.7628,0.0000,0.0000 / 0.0000
[1/1],[829/938],50.4267,60.7497,0.0000,0.0000 / 0.0000
[1/1],[830/938],50.6327,60.7433,0.0000,0.0000 / 0.0000
[1/1],[831/938],50.4146,60.7436,0.0000,0.0000 / 0.0000
[1/1],[832/938],50.3714,60.7750,0.0000,0.0000 / 0.0000
[1/1],[833/938],50.0617,60.7228,0.0000,0.0000 / 0.0000
[1/1],[834/938],50.7087,60.7408,0.0000,0.0000 / 0.0000
[1/1],[835/938],50.7477,60.7653,0.0000,0.0000 / 0.0000
[1/1],[836/938],50.5275,60.7612,0.0000,0.0000 / 0.0000
[1/1],[837/938],50.2090,60.7266,0.0000,0.0000 / 0.0000
[1/1],[838/938],50.7294,60.7626,0.0000,0.0000 / 0.0000
[1/1],[839/938],50.4628,60.7395,0.0000,0.0000 / 0.0000
[1/1],[840/938],50.3982,60.7640,0.0000,0.0000 / 0.0000
[1/1],[841/938],50.7189,60.7651,0.0000,0.0000 / 0.0000
[1/1],[842/938],50.4796,60.7654,0.0000,0.0000 / 0.0000
[1/1],[843/938],50.3814,60.7687,0.0000,0.0000 / 0.0000
[1/1],[844/938],50.3366,60.7483,0.0000,0.0000 / 0.0000
[1/1],[845/938],50.7471,60.7381,0.0000,0.0000 / 0.0000
[1/1],[846/938],50.4793,60.7506,0.0000,0.0000 / 0.0000
[1/1],[847/938],50.6592,60.7418,0.0000,0.0000 / 0.0000
[1/1],[848/938],50.3827,60.7384,0.0000,0.0000 / 0.0000
[1/1],[849/938],50.3564,60.7417,0.0000,0.0000 / 0.0000
[1/1],[850/938],50.4709,60.7282,0.0000,0.0000 / 0.0000
[1/1],[851/938],50.5122,60.7316,0.0000,0.0000 / 0.0000
[1/1],[852/938],50.5195,60.7413,0.0000,0.0000 / 0.0000
[1/1],[853/938],50.1319,60.7701,0.0000,0.0000 / 0.0000
[1/1],[854/938],50.4415,60.7266,0.0000,0.0000 / 0.0000
[1/1],[855/938],50.4263,60.7535,0.0000,0.0000 / 0.0000
[1/1],[856/938],50.6424,60.7700,0.0000,0.0000 / 0.0000
[1/1],[857/938],50.5556,60.7426,0.0000,0.0000 / 0.0000
[1/1],[858/938],50.2925,60.7694,0.0000,0.0000 / 0.0000
[1/1],[859/938],50.1490,60.7734,0.0000,0.0000 / 0.0000
[1/1],[860/938],50.4571,60.7752,0.0000,0.0000 / 0.0000
[1/1],[861/938],50.6136,60.7457,0.0000,0.0000 / 0.0000
[1/1],[862/938],50.3219,60.7783,0.0000,0.0000 / 0.0000
[1/1],[863/938],50.5368,60.7681,0.0000,0.0000 / 0.0000
[1/1],[864/938],50.6517,60.7423,0.0000,0.0000 / 0.0000
[1/1],[865/938],50.3560,60.7631,0.0000,0.0000 / 0.0000
[1/1],[866/938],50.4676,60.7344,0.0000,0.0000 / 0.0000
[1/1],[867/938],50.3251,60.7631,0.0000,0.0000 / 0.0000
[1/1],[868/938],50.5019,60.7397,0.0000,0.0000 / 0.0000
[1/1],[869/938],50.7072,60.7715,0.0000,0.0000 / 0.0000
[1/1],[870/938],50.4752,60.7546,0.0000,0.0000 / 0.0000
[1/1],[871/938],50.5271,60.7601,0.0000,0.0000 / 0.0000
[1/1],[872/938],50.2788,60.7601,0.0000,0.0000 / 0.0000
[1/1],[873/938],50.6637,60.7611,0.0000,0.0000 / 0.0000
[1/1],[874/938],50.6041,60.7633,0.0000,0.0000 / 0.0000
[1/1],[875/938],50.5611,60.7387,0.0000,0.0000 / 0.0000
[1/1],[876/938],50.5689,60.7662,0.0000,0.0000 / 0.0000
[1/1],[877/938],50.4977,60.7709,0.0000,0.0000 / 0.0000
[1/1],[878/938],50.4858,60.7233,0.0000,0.0000 / 0.0000
[1/1],[879/938],50.5866,60.7604,0.0000,0.0000 / 0.0000
[1/1],[880/938],50.4362,60.7224,0.0000,0.0000 / 0.0000
[1/1],[881/938],50.6862,60.7406,0.0000,0.0000 / 0.0000
[1/1],[882/938],50.4058,60.7613,0.0000,0.0000 / 0.0000
[1/1],[883/938],50.5955,60.7427,0.0000,0.0000 / 0.0000
[1/1],[884/938],50.5854,60.7497,0.0000,0.0000 / 0.0000
[1/1],[885/938],50.5132,60.7572,0.0000,0.0000 / 0.0000
[1/1],[886/938],50.7397,60.7274,0.0000,0.0000 / 0.0000
[1/1],[887/938],50.3047,60.7716,0.0000,0.0000 / 0.0000
[1/1],[888/938],50.5084,60.7528,0.0000,0.0000 / 0.0000
[1/1],[889/938],50.6763,60.7567,0.0000,0.0000 / 0.0000
[1/1],[890/938],50.3638,60.7663,0.0000,0.0000 / 0.0000
[1/1],[891/938],50.4812,60.7517,0.0000,0.0000 / 0.0000
[1/1],[892/938],50.0567,60.7691,0.0000,0.0000 / 0.0000
[1/1],[893/938],50.2962,60.7592,0.0000,0.0000 / 0.0000
[1/1],[894/938],50.2206,60.7795,0.0000,0.0000 / 0.0000
[1/1],[895/938],50.4342,60.7647,0.0000,0.0000 / 0.0000
[1/1],[896/938],50.3367,60.7387,0.0000,0.0000 / 0.0000
[1/1],[897/938],50.5455,60.7533,0.0000,0.0000 / 0.0000
[1/1],[898/938],50.6816,60.7679,0.0000,0.0000 / 0.0000
[1/1],[899/938],50.3548,60.7455,0.0000,0.0000 / 0.0000
[1/1],[900/938],50.3655,60.7768,0.0000,0.0000 / 0.0000
[1/1],[901/938],50.7018,60.7866,0.0000,0.0000 / 0.0000
[1/1],[902/938],50.5337,60.7722,0.0000,0.0000 / 0.0000
[1/1],[903/938],50.5692,60.7630,0.0000,0.0000 / 0.0000
[1/1],[904/938],50.3245,60.7423,0.0000,0.0000 / 0.0000
[1/1],[905/938],50.4580,60.7780,0.0000,0.0000 / 0.0000
[1/1],[906/938],50.4114,60.7410,0.0000,0.0000 / 0.0000
[1/1],[907/938],50.6470,60.7391,0.0000,0.0000 / 0.0000
[1/1],[908/938],50.4650,60.7548,0.0000,0.0000 / 0.0000
[1/1],[909/938],50.6713,60.7687,0.0000,0.0000 / 0.0000
[1/1],[910/938],50.5941,60.7725,0.0000,0.0000 / 0.0000
[1/1],[911/938],50.4501,60.7426,0.0000,0.0000 / 0.0000
[1/1],[912/938],50.4985,60.7554,0.0000,0.0000 / 0.0000
[1/1],[913/938],50.3129,60.7600,0.0000,0.0000 / 0.0000
[1/1],[914/938],50.6855,60.7573,0.0000,0.0000 / 0.0000
[1/1],[915/938],50.3000,60.7719,0.0000,0.0000 / 0.0000
[1/1],[916/938],50.5149,60.7694,0.0000,0.0000 / 0.0000
[1/1],[917/938],50.6544,60.7711,0.0000,0.0000 / 0.0000
[1/1],[918/938],50.2735,60.7762,0.0000,0.0000 / 0.0000
[1/1],[919/938],50.7327,60.7731,0.0000,0.0000 / 0.0000
[1/1],[920/938],50.1855,60.7538,0.0000,0.0000 / 0.0000
[1/1],[921/938],50.2455,60.7698,0.0000,0.0000 / 0.0000
[1/1],[922/938],50.4925,60.7467,0.0000,0.0000 / 0.0000
[1/1],[923/938],50.4627,60.7321,0.0000,0.0000 / 0.0000
[1/1],[924/938],50.6527,60.7384,0.0000,0.0000 / 0.0000
[1/1],[925/938],50.6573,60.7689,0.0000,0.0000 / 0.0000
[1/1],[926/938],50.5509,60.7530,0.0000,0.0000 / 0.0000
[1/1],[927/938],50.2375,60.7439,0.0000,0.0000 / 0.0000
[1/1],[928/938],50.4504,60.7525,0.0000,0.0000 / 0.0000
[1/1],[929/938],50.5247,60.7725,0.0000,0.0000 / 0.0000
[1/1],[930/938],50.4147,60.7784,0.0000,0.0000 / 0.0000
[1/1],[931/938],50.5622,60.7677,0.0000,0.0000 / 0.0000
[1/1],[932/938],50.7251,60.7510,0.0000,0.0000 / 0.0000
[1/1],[933/938],50.4103,60.7301,0.0000,0.0000 / 0.0000
[1/1],[934/938],50.4678,60.7617,0.0000,0.0000 / 0.0000
[1/1],[935/938],50.3063,60.7402,0.0000,0.0000 / 0.0000
[1/1],[936/938],50.6778,60.7709,0.0000,0.0000 / 0.0000
[1/1],[937/938],50.5081,60.7554,0.0000,0.0000 / 0.0000
