Epoch, Batch, Loss_D, Loss_G, D(x), D(G(z))
[1/1],[236/938],0.0054,7.3473,0.9993,0.0047 / 0.0007
[1/1],[237/938],0.0036,7.6603,0.9996,0.0032 / 0.0005
[1/1],[238/938],0.0033,7.6247,0.9995,0.0028 / 0.0005
[1/1],[239/938],0.0032,7.6070,0.9995,0.0027 / 0.0006
[1/1],[240/938],0.0034,7.5357,0.9997,0.0031 / 0.0006
[1/1],[241/938],0.0039,7.6885,0.9982,0.0020 / 0.0005
[1/1],[242/938],0.0026,7.5687,0.9995,0.0021 / 0.0006
[1/1],[243/938],0.0054,7.4197,0.9988,0.0042 / 0.0007
[1/1],[244/938],0.0056,7.6027,0.9980,0.0035 / 0.0006
[1/1],[245/938],0.0032,7.6808,0.9998,0.0029 / 0.0005
[1/1],[246/938],0.0037,7.6034,0.9994,0.0031 / 0.0005
[1/1],[247/938],0.0035,7.6060,0.9995,0.0029 / 0.0005
[1/1],[248/938],0.0033,7.6195,0.9989,0.0021 / 0.0005
[1/1],[249/938],0.0031,7.4536,0.9995,0.0026 / 0.0006
[1/1],[250/938],0.0022,7.6143,0.9995,0.0017 / 0.0005
[1/1],[251/938],0.0026,7.5238,0.9991,0.0017 / 0.0006
[1/1],[252/938],0.0033,7.2876,0.9994,0.0027 / 0.0008
[1/1],[253/938],0.0036,7.3786,0.9995,0.0032 / 0.0007
[1/1],[254/938],0.0042,7.4789,0.9984,0.0026 / 0.0006
[1/1],[255/938],0.0032,7.5295,0.9992,0.0024 / 0.0006
[1/1],[256/938],0.0029,7.5131,0.9995,0.0023 / 0.0006
[1/1],[257/938],0.0025,7.5341,0.9997,0.0021 / 0.0006
[1/1],[258/938],0.0020,7.5477,0.9998,0.0017 / 0.0005
[1/1],[259/938],0.0028,7.5065,0.9990,0.0017 / 0.0006
[1/1],[260/938],0.0019,7.4971,0.9998,0.0016 / 0.0006
[1/1],[261/938],0.0035,7.3703,0.9986,0.0022 / 0.0007
[1/1],[262/938],0.0032,7.5152,0.9985,0.0016 / 0.0006
[1/1],[263/938],0.0029,7.3479,0.9998,0.0027 / 0.0007
[1/1],[264/938],0.0023,7.5163,0.9999,0.0022 / 0.0006
[1/1],[265/938],0.0032,7.5268,0.9999,0.0031 / 0.0006
[1/1],[266/938],0.0031,7.5680,0.9998,0.0029 / 0.0005
[1/1],[267/938],0.0032,7.7087,0.9991,0.0023 / 0.0005
[1/1],[268/938],0.0020,7.8064,0.9996,0.0015 / 0.0005
[1/1],[269/938],0.0029,7.5971,0.9987,0.0016 / 0.0005
[1/1],[270/938],0.0024,7.4692,0.9997,0.0021 / 0.0006
[1/1],[271/938],0.0031,7.4333,0.9997,0.0028 / 0.0006
[1/1],[272/938],0.0017,7.7721,0.9998,0.0015 / 0.0005
[1/1],[273/938],0.0022,7.5699,0.9996,0.0018 / 0.0006
[1/1],[274/938],0.0019,7.5940,0.9997,0.0016 / 0.0005
[1/1],[275/938],0.0023,7.5949,0.9992,0.0015 / 0.0006
[1/1],[276/938],0.0018,7.6008,0.9997,0.0015 / 0.0006
[1/1],[277/938],0.0027,7.4100,0.9993,0.0021 / 0.0007
[1/1],[278/938],0.0024,7.4801,0.9997,0.0021 / 0.0006
[1/1],[279/938],0.0022,7.5755,0.9996,0.0018 / 0.0006
[1/1],[280/938],0.0027,7.5871,0.9990,0.0018 / 0.0006
[1/1],[281/938],0.0028,7.5439,0.9991,0.0019 / 0.0006
[1/1],[282/938],0.0018,7.6690,0.9997,0.0014 / 0.0005
[1/1],[283/938],0.0024,7.6115,0.9990,0.0014 / 0.0005
[1/1],[284/938],0.0034,7.4489,0.9983,0.0017 / 0.0006
[1/1],[285/938],0.0020,7.5327,0.9997,0.0016 / 0.0006
[1/1],[286/938],0.0028,7.4897,0.9990,0.0018 / 0.0006
[1/1],[287/938],0.0026,7.5675,0.9989,0.0015 / 0.0006
[1/1],[288/938],0.0023,7.5393,0.9993,0.0016 / 0.0006
[1/1],[289/938],0.0021,7.4854,0.9997,0.0018 / 0.0006
[1/1],[290/938],0.0034,7.4245,0.9992,0.0026 / 0.0007
[1/1],[291/938],0.0034,7.5351,0.9992,0.0026 / 0.0006
[1/1],[292/938],0.0023,7.7928,0.9994,0.0016 / 0.0004
[1/1],[293/938],0.0016,7.8258,0.9996,0.0012 / 0.0004
[1/1],[294/938],0.0013,7.7347,0.9999,0.0012 / 0.0005
[1/1],[295/938],0.0023,7.4004,0.9998,0.0021 / 0.0007
[1/1],[296/938],0.0035,7.4740,0.9992,0.0027 / 0.0006
[1/1],[297/938],0.0105,7.4901,0.9938,0.0027 / 0.0006
[1/1],[298/938],0.0033,7.7147,0.9988,0.0021 / 0.0005
[1/1],[299/938],0.0014,7.8880,0.9998,0.0012 / 0.0004
[1/1],[300/938],0.0013,7.9120,0.9997,0.0010 / 0.0004
[1/1],[301/938],0.0024,7.4298,0.9996,0.0020 / 0.0006
[1/1],[302/938],0.0033,7.4997,0.9999,0.0032 / 0.0006
[1/1],[303/938],0.0022,7.8292,0.9996,0.0018 / 0.0004
[1/1],[304/938],0.0021,7.7279,0.9997,0.0019 / 0.0005
[1/1],[305/938],0.0037,7.6046,0.9986,0.0022 / 0.0005
[1/1],[306/938],0.0028,7.6479,0.9997,0.0025 / 0.0005
[1/1],[307/938],0.0025,7.7337,0.9998,0.0022 / 0.0005
[1/1],[308/938],0.0084,7.5529,0.9948,0.0021 / 0.0006
[1/1],[309/938],0.0023,7.6636,0.9998,0.0021 / 0.0005
[1/1],[310/938],0.0026,7.6734,0.9992,0.0018 / 0.0005
[1/1],[311/938],0.0019,7.6945,0.9998,0.0017 / 0.0005
[1/1],[312/938],0.0018,7.7435,0.9996,0.0014 / 0.0005
[1/1],[313/938],0.0020,7.5589,0.9997,0.0017 / 0.0005
[1/1],[314/938],0.0019,7.6109,0.9998,0.0017 / 0.0005
[1/1],[315/938],0.0030,7.4942,0.9998,0.0028 / 0.0006
[1/1],[316/938],0.0031,7.6590,0.9995,0.0026 / 0.0005
[1/1],[317/938],0.0035,7.7110,0.9991,0.0026 / 0.0005
[1/1],[318/938],0.0025,7.8050,0.9994,0.0018 / 0.0004
[1/1],[319/938],0.0033,7.7214,0.9983,0.0016 / 0.0005
[1/1],[320/938],0.0022,7.6301,0.9994,0.0016 / 0.0005
[1/1],[321/938],0.0020,7.5809,0.9996,0.0016 / 0.0005
[1/1],[322/938],0.0024,7.5881,0.9992,0.0017 / 0.0005
[1/1],[323/938],0.0032,7.4757,0.9995,0.0027 / 0.0006
[1/1],[324/938],0.0037,7.6267,0.9988,0.0025 / 0.0005
[1/1],[325/938],0.0027,7.7499,0.9995,0.0021 / 0.0005
[1/1],[326/938],0.0026,7.7242,0.9995,0.0022 / 0.0005
