Epoch, Batch, Loss
[1/1],[364/938],1.4663
[1/1],[365/938],1.4909
[1/1],[366/938],1.5041
[1/1],[367/938],1.5031
[1/1],[368/938],1.4885
[1/1],[369/938],1.5010
[1/1],[370/938],1.4915
[1/1],[371/938],1.4697
[1/1],[372/938],1.5115
[1/1],[373/938],1.5025
[1/1],[374/938],1.4885
[1/1],[375/938],1.4973
[1/1],[376/938],1.4965
[1/1],[377/938],1.5253
[1/1],[378/938],1.4962
[1/1],[379/938],1.4939
[1/1],[380/938],1.4852
[1/1],[381/938],1.5041
[1/1],[382/938],1.4973
[1/1],[383/938],1.5019
[1/1],[384/938],1.4918
[1/1],[385/938],1.5123
[1/1],[386/938],1.4765
[1/1],[387/938],1.4821
[1/1],[388/938],1.5088
[1/1],[389/938],1.4876
[1/1],[390/938],1.4893
[1/1],[391/938],1.5217
[1/1],[392/938],1.4762
[1/1],[393/938],1.4892
[1/1],[394/938],1.4789
[1/1],[395/938],1.5118
[1/1],[396/938],1.4725
[1/1],[397/938],1.4723
[1/1],[398/938],1.5193
[1/1],[399/938],1.5142
[1/1],[400/938],1.4915
[1/1],[401/938],1.5027
[1/1],[402/938],1.4916
[1/1],[403/938],1.4646
[1/1],[404/938],1.5199
[1/1],[405/938],1.4667
[1/1],[406/938],1.4914
[1/1],[407/938],1.4956
[1/1],[408/938],1.4686
[1/1],[409/938],1.4813
[1/1],[410/938],1.5166
[1/1],[411/938],1.4761
[1/1],[412/938],1.5292
[1/1],[413/938],1.5156
[1/1],[414/938],1.4780
[1/1],[415/938],1.4946
[1/1],[416/938],1.4743
[1/1],[417/938],1.5088
[1/1],[418/938],1.4926
[1/1],[419/938],1.5219
[1/1],[420/938],1.5153
[1/1],[421/938],1.4941
[1/1],[422/938],1.4766
[1/1],[423/938],1.4833
[1/1],[424/938],1.4682
[1/1],[425/938],1.4932
[1/1],[426/938],1.4898
[1/1],[427/938],1.4722
[1/1],[428/938],1.5042
[1/1],[429/938],1.4819
[1/1],[430/938],1.4932
[1/1],[431/938],1.4817
[1/1],[432/938],1.4982
[1/1],[433/938],1.4916
[1/1],[434/938],1.5138
[1/1],[435/938],1.5086
[1/1],[436/938],1.4970
[1/1],[437/938],1.4837
[1/1],[438/938],1.4812
[1/1],[439/938],1.4727
[1/1],[440/938],1.4968
[1/1],[441/938],1.4652
[1/1],[442/938],1.4778
[1/1],[443/938],1.5018
[1/1],[444/938],1.4822
[1/1],[445/938],1.5189
[1/1],[446/938],1.4896
[1/1],[447/938],1.4747
[1/1],[448/938],1.4917
[1/1],[449/938],1.4914
[1/1],[450/938],1.4856
[1/1],[451/938],1.5163
[1/1],[452/938],1.4759
[1/1],[453/938],1.4890
[1/1],[454/938],1.5056
[1/1],[455/938],1.5139
[1/1],[456/938],1.4831
[1/1],[457/938],1.4688
[1/1],[458/938],1.4914
[1/1],[459/938],1.4817
[1/1],[460/938],1.5000
[1/1],[461/938],1.4724
[1/1],[462/938],1.4798
[1/1],[463/938],1.4836
[1/1],[464/938],1.4710
[1/1],[465/938],1.4913
[1/1],[466/938],1.5137
[1/1],[467/938],1.4981
[1/1],[468/938],1.4899
[1/1],[469/938],1.4944
[1/1],[470/938],1.4621
[1/1],[471/938],1.4895
[1/1],[472/938],1.5023
[1/1],[473/938],1.4764
[1/1],[474/938],1.4855
[1/1],[475/938],1.4719
[1/1],[476/938],1.4741
[1/1],[477/938],1.5097
[1/1],[478/938],1.4863
[1/1],[479/938],1.4825
[1/1],[480/938],1.4915
[1/1],[481/938],1.4872
[1/1],[482/938],1.4955
[1/1],[483/938],1.4620
