Epoch, Batch, Loss
[1/1],[332/938],1.5324
[1/1],[333/938],1.5132
[1/1],[334/938],1.5093
[1/1],[335/938],1.4933
[1/1],[336/938],1.4778
[1/1],[337/938],1.4885
[1/1],[338/938],1.5019
[1/1],[339/938],1.5398
[1/1],[340/938],1.5405
[1/1],[341/938],1.5044
[1/1],[342/938],1.5203
[1/1],[343/938],1.4748
[1/1],[344/938],1.4999
[1/1],[345/938],1.4759
[1/1],[346/938],1.5223
[1/1],[347/938],1.4711
[1/1],[348/938],1.5224
[1/1],[349/938],1.4951
[1/1],[350/938],1.4944
[1/1],[351/938],1.4803
[1/1],[352/938],1.4848
[1/1],[353/938],1.4989
[1/1],[354/938],1.5027
[1/1],[355/938],1.4817
[1/1],[356/938],1.5061
[1/1],[357/938],1.5579
[1/1],[358/938],1.4635
[1/1],[359/938],1.4882
[1/1],[360/938],1.4766
[1/1],[361/938],1.4826
[1/1],[362/938],1.4918
[1/1],[363/938],1.4874
[1/1],[364/938],1.5047
[1/1],[365/938],1.4784
[1/1],[366/938],1.5083
[1/1],[367/938],1.5107
[1/1],[368/938],1.4939
[1/1],[369/938],1.4844
[1/1],[370/938],1.4629
[1/1],[371/938],1.4769
[1/1],[372/938],1.5306
[1/1],[373/938],1.4717
[1/1],[374/938],1.4987
[1/1],[375/938],1.4860
[1/1],[376/938],1.4665
[1/1],[377/938],1.4883
[1/1],[378/938],1.4753
[1/1],[379/938],1.5054
[1/1],[380/938],1.4993
[1/1],[381/938],1.4803
[1/1],[382/938],1.5156
[1/1],[383/938],1.4685
[1/1],[384/938],1.4916
[1/1],[385/938],1.4812
[1/1],[386/938],1.4660
[1/1],[387/938],1.5195
[1/1],[388/938],1.4771
[1/1],[389/938],1.4979
[1/1],[390/938],1.4784
[1/1],[391/938],1.5200
[1/1],[392/938],1.4876
[1/1],[393/938],1.5059
[1/1],[394/938],1.4983
[1/1],[395/938],1.4858
[1/1],[396/938],1.5001
[1/1],[397/938],1.5080
[1/1],[398/938],1.4842
[1/1],[399/938],1.4799
[1/1],[400/938],1.4984
[1/1],[401/938],1.4801
[1/1],[402/938],1.4845
